id,movie_title,year,actor_1_name,actor_2_name,actor_3_name,director_name,genres,comb
49013,cars 2,2011.0,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,John Lasseter,Adventure Animation Comedy Family Sport,Joe Mantegna Thomas Kretschmann Eddie Izzard John Lasseter Adventure Animation Comedy Family Sport
44912,green lantern,2011.0,Ryan Reynolds,Temuera Morrison,Taika Waititi,Martin Campbell,Action Adventure Sci-Fi,Ryan Reynolds Temuera Morrison Taika Waititi Martin Campbell Action Adventure Sci-Fi
10193,toy story 3,2010.0,Tom Hanks,John Ratzenberger,Don Rickles,Lee Unkrich,Adventure Animation Comedy Family Fantasy,Tom Hanks John Ratzenberger Don Rickles Lee Unkrich Adventure Animation Comedy Family Fantasy
534,terminator salvation,2009.0,Christian Bale,Bryce Dallas Howard,Common,McG,Action Adventure Sci-Fi,Christian Bale Bryce Dallas Howard Common McG Action Adventure Sci-Fi
168259,furious 7,2015.0,Jason Statham,Paul Walker,Vin Diesel,James Wan,Action Crime Thriller,Jason Statham Paul Walker Vin Diesel James Wan Action Crime Thriller
72190,world war z,2013.0,Peter Capaldi,Brad Pitt,Mireille Enos,Marc Forster,Action Adventure Horror Sci-Fi Thriller,Peter Capaldi Brad Pitt Mireille Enos Marc Forster Action Adventure Horror Sci-Fi Thriller
127585,x-men: days of future past,2014.0,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Bryan Singer,Action Adventure Fantasy Sci-Fi Thriller,Jennifer Lawrence Peter Dinklage Hugh Jackman Bryan Singer Action Adventure Fantasy Sci-Fi Thriller
54138,star trek into darkness,2013.0,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,J.J. Abrams,Action Adventure Sci-Fi,Benedict Cumberbatch Bruce Greenwood Noel Clarke J.J. Abrams Action Adventure Sci-Fi
81005,jack the giant slayer,2013.0,Eddie Marsan,Ewen Bremner,Ralph Brown,Bryan Singer,Adventure Fantasy,Eddie Marsan Ewen Bremner Ralph Brown Bryan Singer Adventure Fantasy
9543,prince of persia: the sands of time,2010.0,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Mike Newell,Action Adventure Fantasy Romance,Jake Gyllenhaal Richard Coyle Reece Ritchie Mike Newell Action Adventure Fantasy Romance
68726,pacific rim,2013.0,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Guillermo del Toro,Action Adventure Sci-Fi,Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell Guillermo del Toro Action Adventure Sci-Fi
38356,transformers: dark of the moon,2011.0,Glenn Morshower,Lester Speight,Kevin Dunn,Michael Bay,Action Adventure Sci-Fi,Glenn Morshower Lester Speight Kevin Dunn Michael Bay Action Adventure Sci-Fi
217,indiana jones and the kingdom of the crystal skull,2008.0,Harrison Ford,Ray Winstone,Jim Broadbent,Steven Spielberg,Action Adventure Fantasy,Harrison Ford Ray Winstone Jim Broadbent Steven Spielberg Action Adventure Fantasy
105864,the good dinosaur,2015.0,A.J. Buckley,Jack McGraw,Peter Sohn,Peter Sohn,Adventure Animation Comedy Family Fantasy,A.J. Buckley Jack McGraw Peter Sohn Peter Sohn Adventure Animation Comedy Family Fantasy
62177,brave,2012.0,Kelly Macdonald,John Ratzenberger,Julie Walters,Mark Andrews,Adventure Animation Comedy Family Fantasy,Kelly Macdonald John Ratzenberger Julie Walters Mark Andrews Adventure Animation Comedy Family Fantasy
188927,star trek beyond,2016.0,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Justin Lin,Action Adventure Sci-Fi Thriller,Sofia Boutella Melissa Roxburgh Lydia Wilson Justin Lin Action Adventure Sci-Fi Thriller
10681,wall·e,2008.0,John Ratzenberger,Fred Willard,Jeff Garlin,Andrew Stanton,Adventure Animation Family Sci-Fi,John Ratzenberger Fred Willard Jeff Garlin Andrew Stanton Adventure Animation Family Sci-Fi
5174,rush hour 3,2007.0,Tzi Ma,Dana Ivey,Noémie Lenoir,Brett Ratner,Action Comedy Crime Thriller,Tzi Ma Dana Ivey Noémie Lenoir Brett Ratner Action Comedy Crime Thriller
14161,2012,2009.0,Oliver Platt,Liam James,Tom McCarthy,Roland Emmerich,Action Adventure Sci-Fi,Oliver Platt Liam James Tom McCarthy Roland Emmerich Action Adventure Sci-Fi
17979,a christmas carol,2009.0,Robin Wright,Colin Firth,Gary Oldman,Robert Zemeckis,Animation Drama Family Fantasy,Robin Wright Colin Firth Gary Oldman Robert Zemeckis Animation Drama Family Fantasy
76757,jupiter ascending,2015.0,Channing Tatum,Mila Kunis,Eddie Redmayne,Lana Wachowski,Action Adventure Sci-Fi,Channing Tatum Mila Kunis Eddie Redmayne Lana Wachowski Action Adventure Sci-Fi
411,"the chronicles of narnia: the lion, the witch and the wardrobe",2005.0,Jim Broadbent,Kiran Shah,Shane Rangi,Andrew Adamson,Adventure Family Fantasy,Jim Broadbent Kiran Shah Shane Rangi Andrew Adamson Adventure Family Fantasy
246655,x-men: apocalypse,2016.0,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Bryan Singer,Action Adventure Sci-Fi,Jennifer Lawrence Michael Fassbender Tye Sheridan Bryan Singer Action Adventure Sci-Fi
155,the dark knight,2008.0,Christian Bale,Heath Ledger,Morgan Freeman,Christopher Nolan,Action Crime Drama Thriller,Christian Bale Heath Ledger Morgan Freeman Christopher Nolan Action Crime Drama Thriller
14160,up,2009.0,John Ratzenberger,Delroy Lindo,Jess Harnell,Pete Docter,Adventure Animation Comedy Family,John Ratzenberger Delroy Lindo Jess Harnell Pete Docter Adventure Animation Comedy Family
15512,monsters vs. aliens,2009.0,Amy Poehler,Rainn Wilson,Stephen Colbert,Rob Letterman,Action Adventure Animation Comedy Family Sci-Fi,Amy Poehler Rainn Wilson Stephen Colbert Rob Letterman Action Adventure Animation Comedy Family Sci-Fi
1726,iron man,2008.0,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr. Jeff Bridges Jon Favreau Jon Favreau Action Adventure Sci-Fi
44826,hugo,2011.0,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Martin Scorsese,Adventure Drama Family Mystery,Chloë Grace Moretz Christopher Lee Ray Winstone Martin Scorsese Adventure Drama Family Mystery
8487,wild wild west,1999.0,Will Smith,Salma Hayek,Bai Ling,Barry Sonnenfeld,Action Comedy Sci-Fi Western,Will Smith Salma Hayek Bai Ling Barry Sonnenfeld Action Comedy Sci-Fi Western
1735,the mummy: tomb of the dragon emperor,2008.0,Jet Li,Brendan Fraser,Russell Wong,Rob Cohen,Action Adventure Fantasy Horror Thriller,Jet Li Brendan Fraser Russell Wong Rob Cohen Action Adventure Fantasy Horror Thriller
297761,suicide squad,2016.0,Will Smith,Robin Atkin Downes,Ike Barinholtz,David Ayer,Action Adventure Comedy Sci-Fi,Will Smith Robin Atkin Downes Ike Barinholtz David Ayer Action Adventure Comedy Sci-Fi
2698,evan almighty,2007.0,Jimmy Bennett,Morgan Freeman,Steve Carell,Tom Shadyac,Comedy Family Fantasy,Jimmy Bennett Morgan Freeman Steve Carell Tom Shadyac Comedy Family Fantasy
137113,edge of tomorrow,2014.0,Tom Cruise,Lara Pulver,Noah Taylor,Doug Liman,Action Adventure Sci-Fi,Tom Cruise Lara Pulver Noah Taylor Doug Liman Action Adventure Sci-Fi
9804,waterworld,1995.0,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Kevin Reynolds,Action Adventure Sci-Fi Thriller,Jeanne Tripplehorn Rick Aviles Zakes Mokae Kevin Reynolds Action Adventure Sci-Fi Thriller
14869,g.i. joe: the rise of cobra,2009.0,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Stephen Sommers,Action Adventure Sci-Fi Thriller,Joseph Gordon-Levitt Dennis Quaid Leo Howard Stephen Sommers Action Adventure Sci-Fi Thriller
150540,inside out,2015.0,Amy Poehler,Mindy Kaling,Phyllis Smith,Pete Docter,Adventure Animation Comedy Drama Family Fantasy,Amy Poehler Mindy Kaling Phyllis Smith Pete Docter Adventure Animation Comedy Drama Family Fantasy
10138,iron man 2,2010.0,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr. Scarlett Johansson Jon Favreau Jon Favreau Action Adventure Sci-Fi
58595,snow white and the huntsman,2012.0,Chris Hemsworth,Kristen Stewart,Sam Claflin,Rupert Sanders,Action Adventure Drama Fantasy,Chris Hemsworth Kristen Stewart Sam Claflin Rupert Sanders Action Adventure Drama Fantasy
102651,maleficent,2014.0,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Robert Stromberg,Action Adventure Family Fantasy Romance,Angelina Jolie Pitt Sharlto Copley Sam Riley Robert Stromberg Action Adventure Family Fantasy Romance
119450,dawn of the planet of the apes,2014.0,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Matt Reeves,Action Adventure Drama Sci-Fi,Gary Oldman Judy Greer Kodi Smit-McPhee Matt Reeves Action Adventure Drama Sci-Fi
64686,47 ronin,2013.0,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Carl Rinsch,Action Adventure Drama Fantasy,Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi Carl Rinsch Action Adventure Drama Fantasy
100402,captain america: the winter soldier,2014.0,Scarlett Johansson,Chris Evans,Hayley Atwell,Anthony Russo,Action Adventure Sci-Fi,Scarlett Johansson Chris Evans Hayley Atwell Anthony Russo Action Adventure Sci-Fi
10192,shrek forever after,2010.0,Jon Hamm,Kathy Griffin,Mary Kay Place,Mike Mitchell,Adventure Animation Comedy Family Fantasy,Jon Hamm Kathy Griffin Mary Kay Place Mike Mitchell Adventure Animation Comedy Family Fantasy
158852,tomorrowland,2015.0,Judy Greer,Chris Bauer,Thomas Robinson,Brad Bird,Action Adventure Family Mystery Sci-Fi,Judy Greer Chris Bauer Thomas Robinson Brad Bird Action Adventure Family Mystery Sci-Fi
177572,big hero 6,2014.0,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Don Hall,Action Adventure Animation Comedy Drama Family Sci-Fi,Damon Wayans Jr. Daniel Henney Abraham Benrubi Don Hall Action Adventure Animation Comedy Drama Family Sci-Fi
82690,wreck-it ralph,2012.0,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Rich Moore,Adventure Animation Comedy Family Sci-Fi,Jack McBrayer Sarah Silverman Joe Lo Truglio Rich Moore Adventure Animation Comedy Family Sci-Fi
5255,the polar express,2004.0,Tom Hanks,Eddie Deezen,Peter Scolari,Robert Zemeckis,Adventure Animation Family Fantasy,Tom Hanks Eddie Deezen Peter Scolari Robert Zemeckis Adventure Animation Family Fantasy
47933,independence day: resurgence,2016.0,Vivica A. Fox,Sela Ward,Judd Hirsch,Roland Emmerich,Action Adventure Sci-Fi,Vivica A. Fox Sela Ward Judd Hirsch Roland Emmerich Action Adventure Sci-Fi
10191,how to train your dragon,2010.0,Gerard Butler,America Ferrera,Craig Ferguson,Dean DeBlois,Adventure Animation Family Fantasy,Gerard Butler America Ferrera Craig Ferguson Dean DeBlois Adventure Animation Family Fantasy
296,terminator 3: rise of the machines,2003.0,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Jonathan Mostow,Action Sci-Fi,Nick Stahl M.C. Gainey Carolyn Hennesy Jonathan Mostow Action Sci-Fi
118340,guardians of the galaxy,2014.0,Bradley Cooper,Vin Diesel,Djimon Hounsou,James Gunn,Action Adventure Sci-Fi,Bradley Cooper Vin Diesel Djimon Hounsou James Gunn Action Adventure Sci-Fi
157336,interstellar,2014.0,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Christopher Nolan,Adventure Drama Sci-Fi,Matthew McConaughey Anne Hathaway Mackenzie Foy Christopher Nolan Adventure Drama Sci-Fi
27205,inception,2010.0,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Christopher Nolan,Action Adventure Sci-Fi Thriller,Leonardo DiCaprio Tom Hardy Joseph Gordon-Levitt Christopher Nolan Action Adventure Sci-Fi Thriller
49051,the hobbit: an unexpected journey,2012.0,Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,Adventure Fantasy,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
4922,the curious case of benjamin button,2008.0,Brad Pitt,Jason Flemyng,Julia Ormond,David Fincher,Drama Fantasy Romance,Brad Pitt Jason Flemyng Julia Ormond David Fincher Drama Fantasy Romance
49538,x-men: first class,2011.0,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Matthew Vaughn,Action Adventure Sci-Fi,Jennifer Lawrence Michael Fassbender Oliver Platt Matthew Vaughn Action Adventure Sci-Fi
131634,the hunger games: mockingjay - part 2,2015.0,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Francis Lawrence,Adventure Sci-Fi,Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Francis Lawrence Adventure Sci-Fi
27022,the sorcerer's apprentice,2010.0,Nicolas Cage,Omar Benson Miller,Robert Capron,Jon Turteltaub,Action Adventure Family Fantasy,Nicolas Cage Omar Benson Miller Robert Capron Jon Turteltaub Action Adventure Family Fantasy
503,poseidon,2006.0,Jimmy Bennett,Mike Vogel,Andre Braugher,Wolfgang Petersen,Action Adventure Drama Thriller,Jimmy Bennett Mike Vogel Andre Braugher Wolfgang Petersen Action Adventure Drama Thriller
241259,alice through the looking glass,2016.0,Johnny Depp,Alan Rickman,Anne Hathaway,James Bobin,Adventure Family Fantasy,Johnny Depp Alan Rickman Anne Hathaway James Bobin Adventure Family Fantasy
810,shrek the third,2007.0,Justin Timberlake,Eric Idle,Rupert Everett,Chris Miller,Adventure Animation Comedy Family Fantasy,Justin Timberlake Eric Idle Rupert Everett Chris Miller Adventure Animation Comedy Family Fantasy
68735,warcraft,2016.0,Dominic Cooper,Callum Rennie,Ruth Negga,Duncan Jones,Action Adventure Fantasy,Dominic Cooper Callum Rennie Ruth Negga Duncan Jones Action Adventure Fantasy
87101,terminator genisys,2015.0,J.K. Simmons,Emilia Clarke,Matt Smith,Alan Taylor,Action Adventure Sci-Fi,J.K. Simmons Emilia Clarke Matt Smith Alan Taylor Action Adventure Sci-Fi
10140,the chronicles of narnia: the voyage of the dawn treader,2010.0,Bruce Spence,Shane Rangi,Laura Brent,Michael Apted,Adventure Family Fantasy,Bruce Spence Shane Rangi Laura Brent Michael Apted Adventure Family Fantasy
676,pearl harbor,2001.0,Jennifer Garner,Jaime King,Mako,Michael Bay,Action Drama History Romance War,Jennifer Garner Jaime King Mako Michael Bay Action Drama History Romance War
1858,transformers,2007.0,Zack Ward,Michael O'Neill,Kevin Dunn,Michael Bay,Action Adventure Sci-Fi,Zack Ward Michael O'Neill Kevin Dunn Michael Bay Action Adventure Sci-Fi
1966,alexander,2004.0,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Oliver Stone,Action Adventure Biography Drama History Romance War,Anthony Hopkins Angelina Jolie Pitt Brian Blessed Oliver Stone Action Adventure Biography Drama History Romance War
675,harry potter and the order of the phoenix,2007.0,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,David Yates,Adventure Family Fantasy Mystery,Robert Pattinson Daniel Radcliffe Fiona Shaw David Yates Adventure Family Fantasy Mystery
674,harry potter and the goblet of fire,2005.0,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Mike Newell,Adventure Family Fantasy Mystery,Robert Pattinson Daniel Radcliffe Rupert Grint Mike Newell Adventure Family Fantasy Mystery
8960,hancock,2008.0,Will Smith,Charlize Theron,Eddie Marsan,Peter Berg,Action Drama,Will Smith Charlize Theron Eddie Marsan Peter Berg Action Drama
6479,i am legend,2007.0,Will Smith,Alice Braga,Willow Smith,Francis Lawrence,Drama Horror Sci-Fi,Will Smith Alice Braga Willow Smith Francis Lawrence Drama Horror Sci-Fi
118,charlie and the chocolate factory,2005.0,Johnny Depp,Christopher Lee,David Kelly,Tim Burton,Adventure Comedy Family Fantasy,Johnny Depp Christopher Lee David Kelly Tim Burton Adventure Comedy Family Fantasy
2062,ratatouille,2007.0,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Brad Bird,Animation Comedy Family Fantasy,Janeane Garofalo John Ratzenberger Brian Dennehy Brad Bird Animation Comedy Family Fantasy
272,batman begins,2005.0,Christian Bale,Liam Neeson,Morgan Freeman,Christopher Nolan,Action Adventure,Christian Bale Liam Neeson Morgan Freeman Christopher Nolan Action Adventure
10527,madagascar: escape 2 africa,2008.0,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Eric Darnell,Action Adventure Animation Comedy Family,Bernie Mac Jada Pinkett Smith Cedric the Entertainer Eric Darnell Action Adventure Animation Comedy Family
18360,night at the museum: battle of the smithsonian,2009.0,Robin Williams,Rami Malek,Steve Coogan,Shawn Levy,Adventure Comedy Family Fantasy,Robin Williams Rami Malek Steve Coogan Shawn Levy Adventure Comedy Family Fantasy
2080,x-men origins: wolverine,2009.0,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Gavin Hood,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman Ryan Reynolds Dominic Monaghan Gavin Hood Action Adventure Fantasy Sci-Fi Thriller
605,the matrix revolutions,2003.0,Essie Davis,Collin Chou,Nona Gaye,Lana Wachowski,Action Sci-Fi,Essie Davis Collin Chou Nona Gaye Lana Wachowski Action Sci-Fi
109445,frozen,2013.0,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Chris Buck,Adventure Animation Comedy Family Fantasy Musical,Josh Gad Maurice LaMarche Livvy Stubenrauch Chris Buck Adventure Animation Comedy Family Fantasy Musical
604,the matrix reloaded,2003.0,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Lana Wachowski,Action Sci-Fi,Steve Bastoni Daniel Bernhardt Helmut Bakaitis Lana Wachowski Action Sci-Fi
76338,thor: the dark world,2013.0,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Alan Taylor,Action Adventure Fantasy,Chris Hemsworth Natalie Portman Anthony Hopkins Alan Taylor Action Adventure Fantasy
76341,mad max: fury road,2015.0,Tom Hardy,Charlize Theron,Zoë Kravitz,George Miller,Action Adventure Sci-Fi Thriller,Tom Hardy Charlize Theron Zoë Kravitz George Miller Action Adventure Sci-Fi Thriller
13448,angels & demons,2009.0,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Ron Howard,Mystery Thriller,Tom Hanks Ayelet Zurer Armin Mueller-Stahl Ron Howard Mystery Thriller
10195,thor,2011.0,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Kenneth Branagh,Action Adventure Fantasy,Chris Hemsworth Natalie Portman Anthony Hopkins Kenneth Branagh Action Adventure Fantasy
13053,bolt,2008.0,Chloë Grace Moretz,Diedrich Bader,James Lipton,Byron Howard,Adventure Animation Comedy Drama Family,Chloë Grace Moretz Diedrich Bader James Lipton Byron Howard Adventure Animation Comedy Drama Family
19585,g-force,2009.0,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,Hoyt Yeatman,Action Adventure Animation Comedy Family Fantasy Sci-Fi,Kelli Garner Piper Mackenzie Harris Niecy Nash Hoyt Yeatman Action Adventure Animation Comedy Family Fantasy Sci-Fi
57165,wrath of the titans,2012.0,Liam Neeson,Edgar Ramírez,Lily James,Jonathan Liebesman,Action Adventure Fantasy,Liam Neeson Edgar Ramírez Lily James Jonathan Liebesman Action Adventure Fantasy
62213,dark shadows,2012.0,Johnny Depp,Chloë Grace Moretz,Christopher Lee,Tim Burton,Comedy Fantasy Horror,Johnny Depp Chloë Grace Moretz Christopher Lee Tim Burton Comedy Fantasy Horror
177677,mission: impossible - rogue nation,2015.0,Tom Cruise,Jeremy Renner,Sean Harris,Christopher McQuarrie,Action Adventure Thriller,Tom Cruise Jeremy Renner Sean Harris Christopher McQuarrie Action Adventure Thriller
7978,the wolfman,2010.0,Anthony Hopkins,Simon Merrells,Art Malik,Joe Johnston,Drama Fantasy Horror Thriller,Anthony Hopkins Simon Merrells Art Malik Joe Johnston Drama Fantasy Horror Thriller
258489,the legend of tarzan,2016.0,Christoph Waltz,Alexander Skarsgård,Casper Crump,David Yates,Action Adventure Drama Romance,Christoph Waltz Alexander Skarsgård Casper Crump David Yates Action Adventure Drama Romance
